1;1;855;Gyönyörűen süt a nap aznap reggel mikor a verseny résztvevői a hegy lábához sorakoznak. Lovad nem tud elég gyorsan rajtolni, ezért leszakadsz az élbojtól. Egy jó ideig haladsz előre a megfelelő irányba, de a nap kezd lemenni...;1: Folytatod az utat hegyre;95;2: Megállsz pihenni;75
2;1;760;Egész éjjel haladtatok a hegygerincen. Lovad viszont egyre fáradtabb.;1: Tartod a tempót, hogy le ne maradjatok;105;2: Lasítasz, hogy tudjatok pihenni;55
2;2;780;Kellően ki tudtátok pihenni magatokat, hogy újra útnak induljatok. Lemaradásban vagytok, azért hogy ezen változtass...;1: Nyugodt vágtában haladsz a cél felé;95;2: Gyosítasz;65
3;1;655;Nagyon jó ütemben haladtok, ha ebben a tempóban haladok időben a célba fogtok érni. Sodashi ezzel szemben egyre fáradtabb.;1: Lassítasz, mivel tekinettel vagy a lovad állapotára;95;2: Gyorsítasz mivel így még akár rekordot is dönthetsz;1
3;2;705;Kellően ki tudtátok pihenni magatokat, hogy újra útnak induljatok. Lemaradásban vagytok, azért hogy ezen változtass...;1: Gyosítasz;1;2: Nyugodt vágtában haladsz a cél felé;100
3;3;685;Fellovagolsz egy magaslatra, hiszen ez a lehető legrövidebb út.;1: Nyugodt tempóban haldsz tovább;125;2: Gyorsítasz, hogy felzárkózhass;31
3;4;715;Nagyon jó ütemben haladtok, ha ebben a tempóban haladok időben a célba fogtok érni. Sodashi nagyon jó lendületben van, alig tudod visszafogni.;1: Lassítasz;11;2: ;110
4;1;560;Sodashi nyugodt tempóban ügetett végig a sziklafalon. A kanca szőrén metörik a felkelő nap fénye. Az eső hatalmas cseppekben kezd szakadni az égből. Ahogy az követ eláznak egyre csúszósabbak.;1: Lassítasz;120;2: Tovább vágtatsz mivel így is nagy lemaradásban vagy;1
4;2;654;Sodashi patája megcsúszik a hegygerincen, teljesen elveszíted az irányítást. Lovad eleik. Valószínűleg megrándult a bal mellső lába. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
4;3;605;Meg kell próbálnod minél nagyobb sebességet elérni.;1: Fent maradsz a sziklák közt;1;2: Lelovagolsz a völgybe;115
4;4;704;Megpróbálsz lassítani, de Sodashi megugrik, kiránja a kezedből a gyeplőt, ami a lábára tekeredik, majd elesik. Valószínűleg megrándult a bal mellső lába. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
5;1;440;Óvatosan haladsz a vizes sziklákon. Ahogy az eső kezd elállni, kitisztul az ég. Meghallasz egy kétségbeesett nyerítést.;1: Figyelem kívül hagyod, és begyorsítasz;1;2: Megkeresed a hang forrását;120
5;2;559;Sodashi patája megcsúszik a hegygerincen, teljesen elveszíted az irányítást. Lovad eleik. Valószínűleg megrándult a bal mellső lába. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
5;3;604;Sodashi patája megcsúszik a hegygerincen, teljesen elveszíted az irányítást. Lovad eleik. Valószínűleg megrándult a bal mellső lába. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
5;4;490;Sodashi nyugodt tempóban ügetett végig a sziklafalon. A mén szőrén metörik a felkelő nap fénye. Az eső hatalmas cseppekben kezd szakadni az égből. Ahogy az követ eláznak egyre csúszósabbak.;1: Lassítasz;95;2: Tovább vágtatsz mivel így is nagy lemaradásban vagy;1
